model,roc_auc,accuracy,recall,precision,f1,brier,latency_ms
svc,0.9241071428571428,0.8333333333333334,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.11122166927504652,0.5
xgb,0.8694196428571429,0.8333333333333334,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.16234251248390277,0.5
logreg,0.9352678571428572,0.85,0.7857142857142857,0.88,0.8301886792452831,0.10056911921777581,0.5
nb,0.9274553571428572,0.8666666666666667,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.12070905777747407,0.5
cat,0.9207589285714286,0.8333333333333334,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.11329231163111951,0.5
mlp,0.9207589285714286,0.8333333333333334,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.12087791899761988,0.5
knn,0.9095982142857143,0.8166666666666667,0.7857142857142857,0.8148148148148148,0.8,0.12066666666666669,0.5
rf,0.9319196428571429,0.7833333333333333,0.75,0.7777777777777778,0.7636363636363637,0.11435,0.5
gb,0.8939732142857143,0.8166666666666667,0.75,0.84,0.7924528301886793,0.1316482555867143,0.5
dt,0.7142857142857143,0.7166666666666667,0.6785714285714286,0.7037037037037037,0.6909090909090909,0.2833333333333333,0.5
