iter	Logloss
0	0.6541403484
1	0.6365987
2	0.6107536003
3	0.5830894187
4	0.5527927644
5	0.5311641427
6	0.5151101091
7	0.4983492365
8	0.4765504025
9	0.4581782818
10	0.4466867736
11	0.4345425269
12	0.4207786141
13	0.4081553668
14	0.3948187506
15	0.3833326041
16	0.373234979
17	0.3654570509
18	0.35694704
19	0.3490329053
20	0.3415178342
21	0.3328480218
22	0.3231247975
23	0.3161391236
24	0.3090357851
25	0.3039792665
26	0.2954730688
27	0.2900371378
28	0.2858430967
29	0.2824356938
30	0.2766106551
31	0.2707409416
32	0.26555226
33	0.2614468834
34	0.2585331448
35	0.2548067952
36	0.2500102706
37	0.2470002614
38	0.2437126214
39	0.2395241356
40	0.2358929301
41	0.2324263325
42	0.2292459705
43	0.2242217104
44	0.2202387077
45	0.2173439823
46	0.2142930006
47	0.2113033075
48	0.2083698798
49	0.2044530614
50	0.201102298
51	0.1987357869
52	0.1966835099
53	0.1959558328
54	0.1941488046
55	0.1906350675
56	0.188364878
57	0.1854240542
58	0.1818440313
59	0.1792321623
60	0.1766756235
61	0.1749933722
62	0.1732648676
63	0.1710526903
64	0.1685807453
65	0.167309414
66	0.165961838
67	0.1638864887
68	0.1621072302
69	0.1608631495
70	0.1596635419
71	0.1584935651
72	0.1569714214
73	0.1550002898
74	0.1532125599
75	0.1522193775
76	0.1509957087
77	0.1493040238
78	0.1482463446
79	0.1463427041
80	0.1437087587
81	0.1427491637
82	0.1407083283
83	0.1397001145
84	0.1378210632
85	0.1359430572
86	0.135505207
87	0.1340661793
88	0.131972495
89	0.1312998292
90	0.1292620369
91	0.1279549563
92	0.1266290895
93	0.1253387712
94	0.1246480082
95	0.1229599644
96	0.1216640115
97	0.1199220394
98	0.1186756283
99	0.1167528634
