iter	Passed	Remaining
0	50	4979
1	51	2545
2	54	1752
3	58	1394
4	62	1195
5	67	1063
6	72	959
7	76	875
8	79	799
9	81	729
10	83	672
11	86	636
12	89	596
13	92	566
14	93	529
15	96	508
16	98	479
17	101	460
18	102	437
19	105	423
20	107	402
21	108	383
22	111	372
23	112	356
24	116	348
25	118	338
26	122	329
27	123	318
28	125	308
29	127	298
30	129	287
31	132	282
32	134	272
33	136	264
34	139	258
35	140	249
36	142	242
37	143	234
38	145	227
39	147	220
40	148	213
41	149	206
42	153	203
43	156	198
44	157	192
45	158	186
46	161	181
47	172	186
48	179	186
49	180	180
50	183	176
51	186	172
52	189	168
53	190	162
54	193	158
55	196	154
56	199	150
57	200	145
58	203	141
59	204	136
60	206	131
61	207	127
62	209	122
63	210	118
64	212	114
65	213	110
66	215	106
67	216	101
68	218	98
69	220	94
70	222	90
71	224	87
72	225	83
73	226	79
74	228	76
75	230	72
76	233	69
77	236	66
78	240	64
79	246	61
80	248	58
81	249	54
82	254	52
83	256	48
84	258	45
85	260	42
86	260	38
87	261	35
88	263	32
89	264	29
90	268	26
91	270	23
92	273	20
93	275	17
94	276	14
95	277	11
96	279	8
97	281	5
98	284	2
99	285	0
